order_id,Customer_ID,order_date,total_amount,shipping_address,status
O500044,CUST530573,9/21/2023,226.06,"52360 Wright Brook, Johnsonbury, VA 59454",Delivered
O500045,CUST397947,2/1/2025,2484.47,"USCGC Sanders, FPO AA 27446",Returned
O500046,CUST989493,9/4/2023,621.88,"9366 Armstrong Drive Apt. 313, South Christopher, SC 11838",Cancelled
O500047,CUST388058,8/3/2023,430.86,"35587 Erica Oval, Port Valerie, PA 40705",Pending
O500048,CUST343503,8/26/2024,190.31,"0948 Gabriela Lights, Davidbury, UT 57046",Cancelled
O500049,CUST608768,6/1/2025,3582.47,"91619 Baker Stravenue, Hurstburgh, NJ 80173",Cancelled
O500050,CUST017086,2/21/2024,1396.1,"4262 Erica Spurs Suite 164, New Mark, MO 28306",Delivered
O500051,CUST716782,6/21/2025,413.47,"26602 Henry Greens Apt. 166, West Spencer, PA 84551",Delivered
O500052,CUST263290,12/11/2024,251.36,"PSC 5310, Box 4234, APO AA 74194",Pending
O500053,CUST718136,12/17/2024,393.14,"12431 Novak Springs, Davidmouth, AL 11203",Delivered
O500054,CUST992106,7/27/2024,3795.85,"829 Alexandra Street, New Jamesville, AR 74244",Delivered
O500055,CUST478558,3/24/2024,1168.31,"6196 Kenneth Roads, Kevinbury, PA 36457",Shipped
O500056,CUST323961,8/19/2024,108.01,"721 Andrews Parks, Melissaberg, NM 77396",Cancelled
O500057,CUST188191,7/3/2024,2884.71,"121 Kevin Glen Apt. 148, Mariastad, OR 25548",Pending
O500058,CUST907944,5/26/2024,3275.87,"309 Karen Fork Suite 114, New Jamesmouth, MN 27488",Cancelled
O500059,CUST454927,10/2/2023,4338.34,"31644 Ruiz Cliffs Apt. 402, Jenniferview, MS 20580",Cancelled
O500060,CUST967234,3/23/2025,4759.62,"569 Sandra Rapid, Port Michael, CO 24835",Returned
O500061,CUST070710,12/31/2023,3960.64,"15312 Ashley Common Suite 720, South Carol, NJ 65105",Shipped
O500062,CUST357307,6/15/2025,2673.61,"8418 Black Greens Suite 386, West Miguelland, NH 59422",Delivered
O500063,CUST572734,5/2/2025,4465.58,"1992 Contreras Parks, Johnsonshire, WV 61672",Pending
O500064,CUST168069,10/13/2024,3969.4,"8713 James Flats Suite 159, West Arthurville, DC 49000",Delivered
O500065,CUST360427,6/29/2025,3632.05,"10158 Cathy Dam, West Shaunchester, ME 37253",Shipped
O500066,CUST667670,10/26/2023,3231.12,"92584 Nicole Streets, Martinport, IA 26068",Returned
O500067,CUST376939,12/1/2023,2942.28,"589 Debbie Greens Apt. 979, New Joshuaville, LA 56904",Shipped
O500068,CUST069569,2/28/2025,2200.32,"87777 Ryan Way, New Patriciaville, LA 34824",Pending
O500069,CUST214593,1/26/2024,3987.78,"5381 Davis Throughway Suite 868, Brittanymouth, NH 73693",Cancelled
O500070,CUST922217,4/1/2024,2307.38,"Unit 4084 Box 5506, DPO AA 75150",Cancelled
O500071,CUST775092,1/14/2024,2572.66,"3281 Oscar Passage, Brittanymouth, NY 58867",Cancelled
O500072,CUST043911,6/27/2025,2136.41,"USNS Bryant, FPO AE 28237",Returned
O500073,CUST302717,2/19/2024,2785.59,"3398 Spencer Trail, Santiagostad, KY 96807",Cancelled
O500074,CUST651823,8/5/2024,4422.35,"4561 Coleman Street Suite 351, East Shawnmouth, ND 19607",Delivered
O500075,CUST714158,11/20/2023,2505,"595 Fisher Mountains, Port Linda, AK 27697",Delivered
O500076,CUST526754,4/6/2024,3386.62,"5926 Rodriguez Fort Apt. 508, Frenchborough, VA 35651",Pending
O500077,CUST697866,3/26/2025,3513.65,"92783 Thompson Spur, Baldwinbury, MI 53191",Returned
O500078,CUST909609,3/10/2024,1442.55,"435 Rivera Road, North Petermouth, DC 41425",Delivered
O500079,CUST718256,2/23/2025,1797.65,"4135 Jessica Path, Tannerville, NM 20391",Shipped
O500080,CUST617974,9/21/2023,1909.18,"52705 Bell Summit, Reginashire, CO 19809",Shipped
O500081,CUST772003,1/10/2025,1272.08,"347 Barbara Way, New Douglasberg, KY 33480",Returned
O500082,CUST007841,8/13/2024,1078.49,"USNV Soto, FPO AE 58608",Shipped
O500083,CUST514652,5/7/2025,354.67,"071 Anderson Junctions Apt. 326, East Elizabeth, MI 69921",Cancelled
O500084,CUST590390,11/23/2024,3634.47,"842 Jessica Pine Suite 164, New Lisa, WI 23363",Cancelled
O500085,CUST209827,4/30/2025,1775.22,"10674 Roach Way, Cynthiabury, OH 29495",Delivered
O500086,CUST279695,3/19/2025,3141.95,"824 Little Corners Apt. 334, Port Curtis, DE 45647",Pending
O500087,CUST810999,6/4/2025,3054.48,"226 Steven Bypass Apt. 063, Lake Davidside, IA 30559",Cancelled
O500088,CUST766514,4/7/2024,2536.38,"89946 Erin Lights, Meyerschester, AL 99139",Pending
O500089,CUST430950,5/3/2024,748.61,"22757 Martin Motorway Apt. 006, North Ashley, ID 27737",Pending
O500090,CUST866896,10/12/2023,4620.84,"7828 Hansen Street, West Sandy, NY 97402",Delivered
O500091,CUST362407,10/27/2023,1816.98,"915 Ingram Neck, Port Taylormouth, VA 65962",Shipped
O500092,CUST244633,10/15/2023,2991.9,"PSC 2094, Box 9456, APO AA 03473",Delivered
O500093,CUST883223,7/14/2023,743.49,"27149 Arnold Parks Suite 236, Smithville, OH 80128",Cancelled
O500094,CUST014250,10/29/2024,1080.98,"2006 Penny Brooks Apt. 010, Waltersview, MN 49853",Pending
O500095,CUST669437,11/1/2023,4351.67,"007 John Heights Apt. 585, Sarahbury, WA 28636",Pending
O500096,CUST400674,6/8/2024,1013.12,"456 Kevin Ridges, South Jamesmouth, LA 68720",Pending
O500097,CUST734453,5/22/2024,2303.48,"389 Jessica Fort, Martinfurt, AR 12649",Delivered
O500098,CUST865412,3/18/2024,536.67,"0576 Frederick Lane, Maryland, WA 00877",Pending
O500099,CUST783367,9/15/2023,3595.43,"453 Michael Gardens, Port Davidtown, NH 63415",Pending
O500100,CUST006730,6/25/2024,937.52,"924 Harrison Port Suite 982, Ericland, AR 14225",Pending
O500101,CUST541542,1/7/2024,4224.99,"8859 Daniel Burgs Apt. 127, Kimbury, FL 45999",Pending
O500102,CUST608485,1/13/2024,4496.77,"9348 Scott Canyon Apt. 692, Stephenbury, WV 27616",Delivered
O500103,CUST375071,10/20/2024,712.12,"62736 Wilson Fork, North Christinaberg, KY 84457",Cancelled
O500104,CUST272117,5/20/2025,2214.7,"PSC 0591, Box 0626, APO AP 95856",Cancelled
O500105,CUST388151,11/16/2024,4785.86,"326 Chavez Springs Suite 537, Port Eileen, DC 84928",Delivered
O500106,CUST917168,10/7/2024,218.42,"907 Williams Crescent, Andersonmouth, TN 03006",Returned
O500107,CUST276609,3/31/2025,4379.71,"096 Michael Hill, Delacruzfurt, OK 53323",Pending
O500108,CUST697903,6/10/2024,2439.42,"6770 Yates Underpass Suite 291, Lake Danielland, TN 79940",Pending
O500109,CUST774701,9/5/2024,232.53,"27581 Martha Tunnel, Richardsonbury, TN 24235",Pending
O500110,CUST716950,7/6/2025,165.57,"11071 Danielle Gardens Suite 836, New Crystaltown, OH 17830",Returned
O500111,CUST709296,3/16/2024,4673.6,"79598 Cory Groves, Franciscobury, AZ 96916",Cancelled
O500112,CUST453860,5/23/2024,112.53,"53145 Debbie Ville Suite 574, North Katherineland, MS 21094",Shipped
O500113,CUST577856,3/24/2025,2871.78,"11793 Leslie Brook, West Karlfort, WV 41094",Shipped
O500114,CUST725103,1/28/2024,4677.82,"6126 Smith Stravenue Apt. 816, Port James, VT 79690",Pending
O500115,CUST995971,3/1/2025,1599.05,"277 Alicia Isle Apt. 864, Nicolemouth, NV 92063",Delivered
O500116,CUST087232,6/25/2025,3072.01,"PSC 1502, Box 7538, APO AA 21688",Delivered
O500117,CUST728785,6/30/2024,4698.91,"Unit 1818 Box 3051, DPO AE 41377",Delivered
O500118,CUST332364,4/10/2025,4431.86,"0762 Cynthia Circle, South Robertborough, NV 07424",Pending
O500119,CUST637817,8/23/2024,4395.07,"7482 Willie Rue, West Mariatown, MN 38997",Pending
O500120,CUST650551,4/19/2024,3743.2,"033 Brown Plain Apt. 495, Amberberg, ND 53438",Pending
O500121,CUST272270,2/29/2024,1971.9,"929 Obrien Ramp, Harringtonmouth, CT 48673",Pending
O500122,CUST393171,11/23/2024,1115.83,"1955 Jacqueline Pine Suite 666, Johnsonville, IN 35677",Pending
O500123,CUST669104,8/25/2023,4257,"47187 Durham Viaduct Apt. 262, Alvaradobury, AL 03769",Returned
O500124,CUST367112,6/14/2024,149.78,"646 Misty Fall Suite 633, Damonberg, CO 26527",Cancelled
O500125,CUST479888,1/25/2025,1655.74,"408 Steven Squares, East Michaelmouth, AR 95071",Returned
O500126,CUST212356,2/7/2024,968.01,"831 Robert Rest Suite 836, Lake Joshua, CA 98122",Cancelled
O500127,CUST999105,12/15/2023,2266.41,"3814 Bell Ridges Suite 612, Allisonland, IA 78714",Cancelled
O500128,CUST317219,2/11/2025,1842.98,"USS Morgan, FPO AP 48254",Returned
O500129,CUST133389,4/29/2024,2388.33,"53597 George Harbors, South Tammyfurt, IL 18012",Shipped
O500130,CUST328534,8/6/2023,510.87,"637 Mcconnell Valleys, New Alexandria, DE 48543",Returned
O500131,CUST321307,5/2/2024,3723.62,"2825 Miller Street Apt. 707, Jonesside, OH 70661",Shipped
O500132,CUST686344,6/8/2025,3670.25,"033 Melissa Square Apt. 866, North Patricia, MI 20616",Returned
O500133,CUST749087,1/3/2024,2595.54,"638 Ricky Pike Suite 424, North Morgan, MD 25315",Delivered
O500134,CUST558941,5/17/2024,4938.41,"Unit 0991 Box 5499, DPO AA 44715",Delivered
O500135,CUST567597,7/14/2023,3447.51,"751 Tucker Streets Apt. 117, Barnettfurt, NY 70432",Pending
O500136,CUST189933,10/16/2024,4270.37,"770 Ronald Mill, West Scottland, ND 08175",Returned
O500137,CUST115725,11/19/2023,2119,"8504 Diaz Corner Suite 097, Cherylton, DC 10970",Pending
O500138,CUST928932,12/23/2024,3498.19,"67080 Benson Knolls, Kentfort, NM 01524",Pending
O500139,CUST488526,10/27/2024,3970.18,"578 Cassandra Parks Apt. 233, South Lindabury, CT 98061",Cancelled
O500140,CUST957851,8/1/2023,3482.92,"350 Joseph Circles, New Cynthiaville, WY 17717",Shipped
O500141,CUST688801,11/19/2024,4779.53,"445 Martinez Drive Suite 117, Bushland, TN 90266",Delivered
O500142,CUST300080,7/18/2023,1277.56,"PSC 4304, Box 2105, APO AP 00709",Returned
O500143,CUST882640,1/26/2025,1591.48,"Unit 7661 Box 8225, DPO AE 83832",Cancelled
O500144,CUST090298,12/8/2024,3208.31,"444 Mario Meadows Apt. 555, Davidchester, MN 26927",Returned
O500145,CUST218836,8/15/2023,4276.91,"915 Mora Branch Apt. 982, Sandyton, NH 38085",Cancelled
O500146,CUST887609,11/8/2023,4586.72,"81848 Madison Centers, Baileychester, VT 77476",Cancelled
O500147,CUST798609,8/21/2023,3591.09,"74235 Jill Fall, East Jill, OR 38609",Delivered
O500148,CUST657685,1/27/2024,3827.19,"370 April Shores, Michaelborough, CT 39934",Pending
O500149,CUST955419,7/24/2024,2848.79,"4374 Mcguire Green, East Angelahaven, SD 88447",Cancelled
O500150,CUST131687,9/20/2024,3996.14,"835 Michelle Station Apt. 604, Port Jamieport, AR 12039",Cancelled
O500151,CUST867168,5/24/2024,1651.04,"50464 Hunter Views, Lake Elizabeth, AR 50186",Delivered
O500152,CUST205171,11/23/2024,55.63,"32755 Sutton Views, Lake Paula, AK 93216",Delivered
O500153,CUST641169,1/25/2024,3181.06,"5179 Kristin Lights, Michaelhaven, OH 03799",Returned
O500154,CUST569401,12/15/2024,2448.66,"992 Giles Squares, New Christopher, SD 49277",Delivered
O500155,CUST241634,1/14/2025,3346.98,"556 Smith Rapids, South Bradleybury, PA 60220",Pending
O500156,CUST635178,3/8/2024,2393.21,"32380 Chan Neck, Port Pamelaton, WA 41631",Returned
O500157,CUST187956,7/31/2024,1975.71,"427 Brown Ramp Suite 180, Lake Tashaview, CA 72094",Delivered
O500158,CUST361858,6/26/2024,69.32,"4926 Elizabeth Springs, South Joanne, VT 75790",Pending
O500159,CUST122364,10/21/2023,1870.89,"916 Alicia Flats Apt. 564, Burkeburgh, GA 01226",Delivered
O500160,CUST602276,9/29/2024,2757.21,"7107 James Way Apt. 208, North Jeffrey, TX 75452",Pending
O500161,CUST237552,4/22/2024,2234.13,"12142 Bonnie Motorway Apt. 137, Port Kevin, CA 52453",Delivered
O500162,CUST118873,5/21/2024,1094.88,"25482 Hall Extension, West Frank, IL 19951",Delivered
O500163,CUST247949,5/31/2024,3986.04,"21581 Heather Lock Apt. 829, Kimberlymouth, HI 71214",Returned
O500164,CUST178807,5/19/2024,2448.29,"76793 Connie Motorway, Tammymouth, MS 08159",Shipped
O500165,CUST458732,4/15/2025,3063.31,"20229 Joseph Mill Suite 828, Barrettberg, IL 66503",Pending
O500166,CUST464678,8/27/2024,869.8,"0735 Schultz Curve, East Michellechester, UT 72650",Pending
O500167,CUST809693,9/18/2023,2160.25,"746 Jones Throughway Apt. 354, Hessshire, RI 41879",Returned
O500168,CUST491716,5/30/2024,888.88,"USS Montoya, FPO AP 88783",Delivered
O500169,CUST462763,3/7/2024,3848.47,"0764 Ronald Route, Johnsonfurt, AZ 69977",Shipped
O500170,CUST090216,1/1/2024,4115.89,"817 Susan Rapids, North Janetport, NE 28542",Returned
O500171,CUST677107,7/19/2023,3260.85,"961 Laura Courts, East Joshua, HI 97152",Shipped
O500172,CUST985042,7/3/2025,1135.63,"679 Ryan Lake Apt. 498, East Megan, PA 61497",Returned
O500173,CUST719884,6/24/2025,4222.36,"Unit 0125 Box 9417, DPO AA 68079",Shipped
O500174,CUST173437,1/25/2025,2391.96,"62616 Lewis Park, Edwardbury, OK 29090",Shipped
O500175,CUST775513,3/12/2025,421.07,"3752 Harris Mountain, Shawnchester, NE 48377",Returned
O500176,CUST660124,8/28/2024,2112.25,"19758 Peterson Harbors, North Christopher, WV 47676",Delivered
O500177,CUST351630,11/9/2024,1420.08,"7253 Gray Station Apt. 919, Castanedahaven, SC 65940",Shipped
O500178,CUST545403,6/14/2025,601.45,"0242 Scott Expressway Apt. 671, East Reneeland, VT 01122",Pending
O500179,CUST759062,9/1/2024,4093.09,"5263 Clark Lock, Lake Sarah, ND 71595",Shipped
O500180,CUST555132,10/14/2023,1708.94,"Unit 7809 Box 8430, DPO AP 58560",Pending
O500181,CUST120658,5/22/2025,1800.52,"784 Sweeney Gateway Suite 855, North Williamside, SD 28766",Returned
O500182,CUST078389,4/27/2025,1079.68,"7958 Ryan Pine Suite 665, Lake Michelleville, MA 08273",Returned
O500183,CUST611216,6/22/2024,2995.94,"50830 Stevens Parks, Port Hannah, NE 88799",Delivered
O500184,CUST961160,2/16/2024,2352.86,"11092 Ashley Mill, North Gregorychester, GA 09445",Cancelled
O500185,CUST551679,4/20/2025,1978,"816 Linda Underpass, Morrisstad, NY 21029",Shipped
O500186,CUST140031,7/29/2023,4555.64,"4294 Castaneda Keys, South Lindaville, MA 02509",Shipped
O500187,CUST656559,4/3/2024,2465.38,"8763 Jonathan River Apt. 939, South Nicolefort, AZ 49023",Pending
O500188,CUST085721,11/30/2023,4521.16,"804 Roberts Locks Suite 210, Kathleenton, NJ 89522",Returned
O500189,CUST688437,3/6/2024,2571.22,"3790 Cody Street Apt. 097, Parkville, NC 47207",Shipped
O500190,CUST467471,2/26/2024,2191.57,"7571 Hughes Glens, Roseville, MA 41945",Delivered
O500191,CUST625443,7/12/2023,896.6,"1055 Zamora Track, Lake Jacob, AR 45940",Shipped
O500192,CUST119032,7/13/2023,4889.74,"4979 Mitchell Drive, New Sara, FL 08610",Returned
O500193,CUST689859,4/26/2024,723.33,"7962 Brown Inlet Suite 909, Port David, AZ 31941",Cancelled
O500194,CUST807580,7/27/2024,1901.91,"7093 Finley Cliff, Michaelbury, SC 63705",Pending
O500195,CUST232665,5/9/2024,2889.38,"399 David Squares Suite 672, Nicholasburgh, NE 73947",Pending
O500196,CUST644515,2/11/2025,3630.47,"4981 Watts Mews Apt. 445, Port Justin, MI 86323",Pending
O500197,CUST779143,6/26/2025,1270.29,"7632 Brown Radial Suite 041, West Christina, ME 83759",Shipped
O500198,CUST588588,9/23/2023,4264.72,"0697 Berry Ports Apt. 511, South Christinebury, NM 65487",Shipped
O500199,CUST523685,3/30/2024,1826.72,"14400 Rice Light, Floresmouth, AZ 08993",Delivered
O500200,CUST797940,6/19/2024,4985.22,"576 Smith Club, East Kathleen, OK 52248",Returned
O500201,CUST692551,7/6/2025,2902.94,"12658 Ellis Prairie, South Antonioberg, WI 40276",Returned
O500202,CUST022235,7/24/2023,831.29,"891 Payne Islands, North Kristin, RI 80553",Pending
O500203,CUST868453,1/24/2024,2750.87,"3601 Morales Drive Suite 830, Sharonstad, CO 61910",Returned
O500204,CUST324572,4/23/2025,1102.66,"955 Harris Summit, Leonardberg, WV 81041",Delivered
O500205,CUST286737,9/5/2023,763.38,"852 Stone Gateway Apt. 441, North Michaelshire, DE 74509",Shipped
O500206,CUST501988,4/6/2024,250.43,"04111 Susan Fall Suite 830, Sampsonbury, HI 48819",Pending
O500207,CUST623172,9/30/2023,120.07,"40764 Stone Viaduct Apt. 943, New Laurachester, NM 77920",Returned
O500208,CUST511254,7/5/2025,1630.02,"38030 Burch Meadow Suite 462, Casefurt, IN 57131",Pending
O500209,CUST994856,1/20/2025,4562.58,"581 Christopher Valley, East Paul, OR 12476",Shipped
O500210,CUST862428,5/24/2025,3808.03,"2438 Anthony Rapid Suite 166, Port Steven, FL 22943",Cancelled
O500211,CUST265703,5/5/2024,2439.59,"238 Jerry Wells, Paulview, WA 88638",Delivered
O500212,CUST309160,6/1/2025,1811.84,"1247 Myers Street, Port Michaelfort, DC 03286",Returned
O500213,CUST113306,4/15/2025,2417.55,"565 Chad Common Suite 449, Coxtown, MD 78178",Shipped
O500214,CUST265413,1/7/2025,4040.58,"6420 Smith Walks Apt. 012, Davidfurt, AL 43793",Cancelled
O500215,CUST310135,10/10/2023,3115.15,"139 Perry Cape Suite 538, Stephenston, KY 50749",Delivered
O500216,CUST728698,4/21/2025,495.81,"17598 Barton Drives, Colonville, MN 55448",Returned
O500217,CUST555148,12/26/2024,3650.57,"06982 Anthony Ports Suite 280, Dyerburgh, OR 46680",Returned
O500218,CUST090863,1/23/2025,2617.2,"67659 Hoover Radial Apt. 058, Shawville, IL 94055",Pending
O500219,CUST589620,5/10/2025,2911.96,"4679 Blake Forks, North Brandon, CT 94259",Returned
O500220,CUST045881,12/7/2024,4336.72,"2568 Brendan Expressway, New Peterborough, NH 89102",Pending
O500221,CUST485644,8/5/2024,3901.16,"670 Emily Mount Apt. 174, South Kim, MI 55757",Delivered
O500222,CUST792323,12/26/2023,4662.1,"2380 Davis Wells, Christopherland, DE 97729",Delivered
O500223,CUST200794,8/20/2023,4215.45,"91306 Jeffrey Plaza, South Michael, CA 34957",Cancelled
O500224,CUST478711,1/3/2025,2215.18,"10678 Mark Lane, Fordbury, WA 39433",Delivered
O500225,CUST463180,3/15/2024,3023.81,"265 Tanner Ways, New James, SC 13817",Delivered
O500226,CUST244079,11/8/2024,55.42,"962 Karen Road Apt. 591, Nixonhaven, NV 94657",Cancelled
O500227,CUST196974,11/6/2023,2761.06,"0562 Edward Station, Lake Annborough, CA 11327",Pending
O500228,CUST595463,5/18/2024,2222.93,"641 Jacob Roads Suite 662, Kevintown, CT 88837",Pending
O500229,CUST556373,8/25/2023,836.26,"8041 Robert Throughway, Adamport, OH 18285",Delivered
O500230,CUST260199,2/13/2024,3411.53,"9622 Katherine Bypass, Port Kaitlyn, NC 72701",Shipped
O500231,CUST648809,12/15/2024,783.02,"40233 Jennifer Ridges Apt. 586, Nicholasburgh, IL 91845",Pending
O500232,CUST848404,12/3/2024,3384.95,"Unit 0092 Box 2017, DPO AP 82209",Returned
O500233,CUST878301,4/13/2025,4308.57,"4186 Newton Village, Goodwinshire, HI 23807",Pending
O500234,CUST197527,12/12/2023,4903.68,"99031 Willis Isle, Isaacberg, AR 41765",Delivered
O500235,CUST578540,10/19/2024,585.03,"477 Jordan Passage, Christinechester, NY 68470",Pending
O500236,CUST691872,5/29/2025,2172.42,"021 Reyes Turnpike Suite 139, Johnstad, IN 36373",Cancelled
O500237,CUST317463,7/26/2023,556.62,"9504 Anthony Villages Apt. 514, Snydermouth, MT 66222",Returned
O500238,CUST847657,1/31/2025,383.03,"7784 Veronica Pine Apt. 364, New Lorraineberg, WI 47423",Delivered
O500239,CUST939291,3/4/2025,4867.73,"683 Freeman Branch Apt. 031, West Marthahaven, IA 13378",Returned
O500240,CUST576674,1/28/2024,4686.71,"69438 Robert Valley, Welchville, IA 05644",Shipped
O500241,CUST566356,11/30/2023,3224.05,"41950 Sara Orchard, Port Steven, MA 49636",Shipped
O500242,CUST836966,8/16/2023,445.66,"1566 Williams Drives, Pottsmouth, TX 16889",Cancelled
O500243,CUST765108,6/3/2025,2559.09,"30591 Judy Court Suite 444, Lake Robertchester, AR 86925",Returned
O500244,CUST538680,9/5/2023,900.34,"464 Christina Springs Apt. 864, Port Nicole, AL 53914",Pending
O500245,CUST346319,12/2/2024,4858.37,"2026 Samantha Bridge Apt. 673, Jerrymouth, MO 20089",Pending
O500246,CUST719197,2/27/2024,1868.41,"5264 Jill Oval, Lake Marie, FL 30624",Returned
O500247,CUST366538,6/2/2024,1829.8,"136 Bell Radial Apt. 807, Jacksontown, WY 03884",Pending
O500248,CUST275025,9/28/2024,3923.08,"42204 Garcia Islands Suite 931, Lake Maryfurt, SD 00992",Returned
O500249,CUST295031,5/16/2025,2922.11,"06334 Sarah Terrace Suite 071, East Holly, WV 38403",Shipped
O500250,CUST975458,7/13/2024,550.99,"PSC 1131, Box 3065, APO AE 68923",Returned
O500251,CUST488848,8/8/2024,1127.09,"Unit 7500 Box 2667, DPO AE 62007",Shipped
O500252,CUST192751,6/3/2025,1282.03,"PSC 4507, Box 7292, APO AE 14682",Shipped
O500253,CUST071429,9/9/2023,817.5,"66005 Danielle Rapid Apt. 252, West Ericfurt, FL 83002",Returned
O500254,CUST813082,10/11/2023,100.58,"61680 Graham Spur Suite 653, East Edwinfort, KS 01401",Pending
O500255,CUST197816,4/3/2024,3901.84,"97263 Cervantes Vista Suite 794, Carpenterfurt, DC 33606",Delivered
O500256,CUST089494,8/4/2023,1332.64,"45594 Kelsey Walks Suite 889, Mariestad, NJ 91460",Cancelled
O500257,CUST516693,4/30/2024,1791.45,"3948 Michael Mountain Suite 428, Port Garyfurt, TN 33302",Pending
O500258,CUST354457,4/2/2024,4377.5,"9428 Nicholas Lodge Suite 765, Port John, SD 10419",Returned
O500259,CUST227776,11/11/2024,2246.94,"6955 Cox Shores Apt. 459, New Patriciaberg, NJ 37057",Pending
O500260,CUST770283,11/10/2023,232.13,"1935 Padilla Overpass, South Katrinaberg, WI 16286",Shipped
O500261,CUST761011,5/16/2025,2563.63,"36138 Mcdowell Junctions, North Joseph, VT 10202",Returned
O500262,CUST336639,4/12/2025,4868.48,"456 Pamela Ridge Apt. 625, New Georgeport, OK 39921",Cancelled
